ensembl_gene_id,gene_biotype,gene
ENSG00000012232,protein_coding,EXTL3
ENSG00000012660,protein_coding,ELOVL5
ENSG00000012779,protein_coding,ALOX5
ENSG00000012817,protein_coding,KDM5D
ENSG00000012822,protein_coding,CALCOCO1
ENSG00000012963,protein_coding,UBR7
ENSG00000012983,protein_coding,MAP4K5
ENSG00000013016,protein_coding,EHD3
ENSG00000013275,protein_coding,PSMC4
ENSG00000013288,protein_coding,MAN2B2
ENSG00000013293,protein_coding,SLC7A14
ENSG00000013297,protein_coding,CLDN11
ENSG00000013306,protein_coding,SLC25A39
ENSG00000013364,protein_coding,MVP
ENSG00000013374,protein_coding,NUB1
ENSG00000013375,protein_coding,PGM3
ENSG00000013392,protein_coding,RWDD2A
ENSG00000013441,protein_coding,CLK1
ENSG00000013503,protein_coding,POLR3B
ENSG00000013523,protein_coding,ANGEL1
ENSG00000013561,protein_coding,RNF14
ENSG00000013563,protein_coding,DNASE1L1
ENSG00000013573,protein_coding,DDX11
ENSG00000013583,protein_coding,HEBP1
ENSG00000013588,protein_coding,GPRC5A
ENSG00000013619,protein_coding,MAMLD1
ENSG00000013725,protein_coding,CD6
ENSG00000013810,protein_coding,TACC3
ENSG00000014123,protein_coding,UFL1
ENSG00000014138,protein_coding,POLA2
ENSG00000014164,protein_coding,ZC3H3
ENSG00000014216,protein_coding,CAPN1
ENSG00000014257,protein_coding,ACPP
ENSG00000014641,protein_coding,MDH1
ENSG00000014824,protein_coding,SLC30A9
ENSG00000014914,protein_coding,MTMR11
ENSG00000014919,protein_coding,COX15
ENSG00000015133,protein_coding,CCDC88C
ENSG00000015153,protein_coding,YAF2
ENSG00000015171,protein_coding,ZMYND11
ENSG00000015475,protein_coding,BID
ENSG00000015479,protein_coding,MATR3
ENSG00000015532,protein_coding,XYLT2
ENSG00000015592,protein_coding,STMN4
ENSG00000015676,protein_coding,NUDCD3
ENSG00000016391,protein_coding,CHDH
ENSG00000016402,protein_coding,IL20RA
ENSG00000016602,protein_coding,CLCA4
ENSG00000016864,protein_coding,GLT8D1
ENSG00000017260,protein_coding,ATP2C1
ENSG00000017427,protein_coding,IGF1
ENSG00000017797,protein_coding,RALBP1
ENSG00000018189,protein_coding,RUFY3
ENSG00000018236,protein_coding,CNTN1
ENSG00000018280,protein_coding,SLC11A1
ENSG00000018408,protein_coding,WWTR1
ENSG00000018510,protein_coding,AGPS
ENSG00000018610,protein_coding,CXorf56
ENSG00000018625,protein_coding,ATP1A2
ENSG00000018699,protein_coding,TTC27
ENSG00000018869,protein_coding,ZNF582
ENSG00000019144,protein_coding,PHLDB1
ENSG00000019485,protein_coding,PRDM11
ENSG00000019505,protein_coding,SYT13
ENSG00000019549,protein_coding,SNAI2
ENSG00000019582,protein_coding,CD74
ENSG00000019991,protein_coding,HGF
ENSG00000019995,protein_coding,ZRANB1
ENSG00000020129,protein_coding,NCDN
ENSG00000020181,protein_coding,ADGRA2
ENSG00000020256,protein_coding,ZFP64
ENSG00000020426,protein_coding,MNAT1
ENSG00000020577,protein_coding,SAMD4A
ENSG00000020633,protein_coding,RUNX3
ENSG00000020922,protein_coding,MRE11
ENSG00000021300,protein_coding,PLEKHB1
ENSG00000021355,protein_coding,SERPINB1
ENSG00000021461,protein_coding,CYP3A43
ENSG00000021488,protein_coding,SLC7A9
ENSG00000021574,protein_coding,SPAST
ENSG00000021645,protein_coding,NRXN3
ENSG00000021762,protein_coding,OSBPL5
ENSG00000021776,protein_coding,AQR
ENSG00000021826,protein_coding,CPS1
ENSG00000022267,protein_coding,FHL1
ENSG00000022277,protein_coding,RTF2
ENSG00000022355,protein_coding,GABRA1
ENSG00000022556,protein_coding,NLRP2
ENSG00000022567,protein_coding,SLC45A4
ENSG00000022840,protein_coding,RNF10
ENSG00000022976,protein_coding,ZNF839
ENSG00000023041,protein_coding,ZDHHC6
ENSG00000023171,protein_coding,GRAMD1B
ENSG00000023191,protein_coding,RNH1
ENSG00000023228,protein_coding,NDUFS1
ENSG00000023287,protein_coding,RB1CC1
