"geneSet","description","NES","FDR","Function","Datatype"
"GO:0003205","cardiac chamber development",1.3787125450579,0.17810981591961,"GO","FP_CTCDT"
"GO:0042391","regulation of membrane potential",1.37940493017399,0.179528216588424,"GO","FP_CTCDT"
"GO:0055081","monoatomic anion homeostasis",1.37477427674614,0.180775530655102,"GO","FP_CTCDT"
"GO:0045454","cell redox homeostasis",-1.33829255011145,0.181485929519295,"GO","FP_CTCDT"
"GO:0045216","cell-cell junction organization",1.37226778722853,0.181544615484439,"GO","FP_CTCDT"
"GO:0048872","homeostasis of number of cells",-1.33569228063229,0.183879620415255,"GO","FP_CTCDT"
"GO:0006968","cellular defense response",-1.33225965889161,0.187595355523084,"GO","FP_CTCDT"
"GO:0060840","artery development",-1.33095099275658,0.188223637747051,"GO","FP_CTCDT"
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway",1.3601027051542,0.192243291997637,"GO","FP_CTCDT"
"GO:0062012","regulation of small molecule metabolic process",-1.32540554534152,0.193410004214355,"GO","FP_CTCDT"
"GO:0006766","vitamin metabolic process",-1.32433767563773,0.193735250744997,"GO","FP_CTCDT"
"GO:0042692","muscle cell differentiation",1.35612121053174,0.194812262051271,"GO","FP_CTCDT"
"GO:0061842","microtubule organizing center localization",1.34934565763331,0.19690379839279,"GO","FP_CTCDT"
"GO:1904888","cranial skeletal system development",1.35052273119964,0.197686703854949,"GO","FP_CTCDT"
"GO:0060021","roof of mouth development",1.34674006766434,0.198306965211452,"GO","FP_CTCDT"
"GO:0006858","extracellular transport",1.350709711226,0.199609335272271,"GO","FP_CTCDT"
"GO:0038061","non-canonical NF-kappaB signal transduction",-1.31805461154135,0.201218444918804,"GO","FP_CTCDT"
"GO:0040013","negative regulation of locomotion",-1.31453118878483,0.20395212926364,"GO","FP_CTCDT"
"GO:0003007","heart morphogenesis",1.33581321838778,0.204497484885328,"GO","FP_CTCDT"
"GO:0061053","somite development",1.33093595362978,0.204653582514219,"GO","FP_CTCDT"
"GO:0044403","biological process involved in symbiotic interaction",-1.31136136628583,0.205178762018382,"GO","FP_CTCDT"
